id,pillar,title,empathy_hook,info_core,sources,keywords,season,empathy,info,ai_fit,risk
M04,돈·노후,노후 생활비 현실 계산: 우리 부부 얼마 필요할까,우리 부부 노후 준비가 괜찮은 건지 모르겠어요,국민연금연구원 조사 기준 적정·최소 노후생활비 / 국민연금·퇴직연금·개인연금 3층 구조 / 부족분 계산법,국민연금연구원 국민노후보장패널;통계청,노후자금 계산;노후 생활비;3층 연금,all,5,5,5,med
M05,돈·노후,집 한 채로 노후 준비하는 주택연금,자식에게 집을 물려줘야 할지 고민이에요,가입 요건(부부 중 1명 만 55세 이상·공시가격 12억원 이하) / 월 수령액 구조 / 장단점과 유의점,한국주택금융공사,주택연금 조건;주택연금 수령액;주택연금 단점,all,4,5,5,med
M06,돈·노후,실손보험 세대별 차이와 전환 판단법,보험료는 계속 오르는데 갈아타야 할지 모르겠어요,1~4세대 실손 차이 / 보험료 갱신·할증 구조 / 전환 시 따져볼 것 / 제도 개편 동향(최신 확인 필수),금융감독원;생명보험협회;손해보험협회,실손보험 전환;4세대 실손;실손보험료 인상,all,4,5,4,med
M07,돈·노후,자녀에게 미리 줄 때 알아야 할 증여세 기초,자식한테 얼마까지 세금 없이 줄 수 있나요,성인 자녀 10년간 5천만원 공제 / 혼인·출산 증여공제 1억원 / 배우자 6억원 / 신고 방법,국세청 홈택스,증여세 면제 한도;자녀 증여;혼인 증여공제,all,4,5,5,med
M08,돈·노후,올해 달라진 연금·복지 제도 총정리,뉴스는 봤는데 나한테 뭐가 달라지는지 모르겠어요,국민연금 개혁(보험료율 단계 인상·소득대체율 조정) / 기초연금 선정기준 / 새해 달라지는 제도,보건복지부;국민연금공단;대한민국 정책브리핑,연금개혁;국민연금 보험료 인상;달라지는 제도,1;12,4,5,5,med
M09,돈·노후,사교육비와 노후자금 사이,애들 학원비는 끊을 수가 없고 노후는 불안해요,통계청 초중고 사교육비 조사 / 가계 지출 비중 / 교육비와 노후 준비 우선순위 세우는 법,통계청,사교육비 노후;교육비 부담;노후준비 우선순위,2;3,5,3,5,low
M10,돈·노후,내 보험·휴면예금·카드포인트 숨은 돈 찾기,나도 모르게 잠자고 있는 돈이 있다던데요,파인(금융감독원)에서 숨은 금융자산 조회 / 어카운트인포 계좌 통합관리 / 카드포인트 통합조회,금융감독원 파인;금융결제원 어카운트인포;여신금융협회,숨은돈 찾기;휴면예금 조회;카드포인트 현금화,all,4,5,5,low
W01,일·인생2막,권고사직·퇴직 후 실업급여 제대로 받기,권고사직인데 실업급여 받을 수 있나요,수급 요건(비자발적 이직·피보험단위기간 180일) / 수급액과 기간(매년 변동) / 구직활동 인정 기준,고용노동부 고용24,실업급여 조건;실업급여 금액;권고사직 실업급여,all,4,5,5,med
W02,일·인생2막,50대 재취업의 현실과 준비법,이력서를 수십 군데 넣어도 연락이 없어요,중장년내일센터 무료 전직지원 / 국민내일배움카드 / 경력 재설계와 눈높이 조정,고용노동부;노사발전재단 중장년내일센터,50대 재취업;중장년 일자리;국민내일배움카드,all,5,4,4,low
W03,일·인생2막,중년에 따는 자격증 현실 검증,자격증만 따면 된다던데 정말 일자리가 있나요,요양보호사·전기기능사·지게차 등 수요와 실제 근무 여건 / 취득 기간과 비용 / 과장 광고 구별법,한국산업인력공단 Q-Net;고용노동부 고용24,50대 자격증;요양보호사 현실;중장년 자격증,1;2;3,4,4,4,low
W04,일·인생2막,퇴직 1년 전 꼭 챙길 체크리스트,막상 퇴직이 다가오니 뭘 준비해야 할지 막막해요,연금 수령 계획 / 건강보험 전환 / 대출·보험 정리 / 경력·인맥 정리 / 부부 합의,국민연금공단;국민건강보험공단;고용노동부 고용24,퇴직 준비;퇴직 전 체크리스트;은퇴 준비,all,4,5,5,med
W05,일·인생2막,퇴직금으로 창업하기 전 확인할 것,퇴직금으로 가게 차렸다가 다 날렸다는 얘기가 남 일 같지 않아요,국세통계로 보는 업종별 폐업 현황 / 프랜차이즈 정보공개서 보는 법 / 상권정보 시스템 활용,공정거래위원회 가맹사업거래;소상공인시장진흥공단 상권정보;국세청 국세통계,퇴직 후 창업;프랜차이즈 정보공개서;자영업 폐업,all,5,4,4,med
F01,가족,사춘기 자녀와 싸우지 않고 대화하는 법,말만 하면 방문을 쾅 닫고 들어가요,청소년기 뇌 발달 특성 / 대화의 기본 원칙 / 도움받을 수 있는 청소년상담복지센터,한국청소년상담복지개발원;청소년상담 1388,사춘기 자녀 대화법;중2병;사춘기 아들,all,5,3,4,low
F02,가족,성인 자녀의 독립: 어디까지 도와야 할까,서른 넘은 자식이 아직 집에 있어요,부모와 함께 사는 청년 통계 / 경제적 지원의 선 긋기 / 자녀가 활용할 청년 지원 제도,통계청;온통청년,캥거루족;성인 자녀 독립;자녀 경제적 지원,all,5,3,4,low
F03,가족,부모님 장기요양등급 신청 A to Z,엄마가 요즘 혼자 지내시기 힘들어 보여요,장기요양 신청 대상(만 65세 이상 등) / 신청→방문조사→등급판정 절차 / 재가급여와 시설급여 / 본인부담 구조,국민건강보험공단 노인장기요양보험,장기요양등급 신청;방문요양;요양원 비용,all,5,5,5,med
F04,가족,부모님 치매 초기 신호와 치매안심센터 활용법,요즘 엄마가 같은 말을 자꾸 반복하세요,치매 초기 증상과 건망증 구별 / 치매안심센터 무료 선별검사(만 60세 이상) / 치매 치료관리비 지원,중앙치매센터;보건복지부,치매 초기증상;치매안심센터;치매 검사,all,5,5,4,high
F05,가족,샌드위치 세대(마처세대)의 부양 부담,부모님 병원비에 애들 뒷바라지까지 숨이 막혀요,부모 부양과 자녀 지원 동시 부담 통계 / 형제간 부양 분담 대화법 / 활용 가능한 공적 지원,통계청;보건복지부,마처세대;샌드위치 세대;부모 부양,all,5,3,4,low
F06,가족,명절 가족 갈등 현명하게 넘기는 법,명절만 다가오면 벌써 마음이 무거워요,명절 스트레스 조사 결과 / 갈등을 부르는 대화 피하는 법 / 부부가 미리 합의할 것,통계청;한국보건사회연구원,명절 스트레스;명절 부부싸움;명절 용돈,1;2;9,5,2,5,low
F07,가족,아이들 떠난 뒤 부부 둘만 남았을 때,애들 없으니 남편이랑 할 말이 없어요,혼인 20년 이상 이혼 비중(통계청 혼인·이혼 통계) / 부부 대화 회복 방법 / 부부상담 이용법,통계청;가족센터,황혼이혼;부부 권태기;졸혼,all,5,3,4,low
F08,가족,자녀 결혼 비용 어디까지 지원할까,결혼 자금 보태줘야 하는데 노후자금이 걱정돼요,결혼 비용 조사 / 혼인·출산 증여공제 1억원 / 노후와 지원 사이 기준 세우기,국세청;통계청,자녀 결혼 비용;결혼자금 증여;혼인 증여공제,all,5,4,5,med
F09,가족,부모님 돌아가신 뒤 해야 할 일 순서,경황이 없는데 처리할 게 너무 많아요,사망신고와 안심상속 원스톱서비스 / 상속포기·한정승인은 상속 개시를 안 날부터 3개월 이내 / 공과금·통신·연금 정리,정부24;대법원 전자가족관계등록시스템;국세청,안심상속 원스톱;상속포기 기간;사망신고 절차,all,5,5,5,med
P01,마음,중년 우울과 번아웃 신호,남들은 잘 산다는데 왜 이렇게 허무할까요,중년 우울 증상과 자가검진 도구(PHQ-9) / 번아웃과 우울 구별 / 자살예방상담전화 109·정신건강복지센터 안내,국립정신건강센터;보건복지부,중년 우울증;번아웃 증상;우울증 자가진단,all,5,4,4,high
P02,마음,빈 둥지 증후군: 아이들 떠난 뒤 허전함,애들이 떠나고 나니 집이 텅 빈 것 같아요,빈 둥지 증후군 개념과 증상 / 새로운 역할 찾기 / 관계 재정비,한국보건사회연구원;관련 심리학 연구,빈둥지 증후군;자녀 독립 후 허전함;갱년기 우울,2;3,5,3,5,low
P03,마음,중년의 친구 관계 정리,연락하는 친구가 몇 명 안 남았어요,사회적 관계와 건강에 관한 연구 / 관계가 줄어드는 이유 / 새로운 관계 만드는 법,관련 심리학·보건 연구,중년 친구;인간관계 정리;50대 외로움,all,5,3,5,low
P04,마음,혼자여도 괜찮은 중년의 시간,주말에 혼자 있으면 괜히 쓸쓸해요,외로움과 고독의 차이 / 혼자 즐기는 취미 / 지역 평생교육·동호회 활용,국가평생교육진흥원;지자체 평생학습관,중년 취미;50대 혼자;평생학습,all,5,3,5,low
P05,마음,50대에 알게 된 인생 후반전의 행복,이제 뭘 위해 살아야 하나 싶어요,행복 U커브 연구 / 중년 이후 행복감이 오르는 이유 / 의미를 찾는 방법,관련 행복 연구;통계청 사회조사,중년의 행복;인생 후반전;50대 인생,all,5,3,5,low
L01,생활·디지털,보이스피싱·스미싱 최신 수법과 대처,설마 내가 당하겠냐 했는데 문자 하나에 식은땀이 났어요,최신 사기 수법 유형 / 의심되면 112 신고와 금융회사 지급정지 / 가족끼리 확인 암호 정하기,경찰청;금융감독원,보이스피싱 수법;스미싱 문자;지급정지 방법,all,4,5,5,low
L02,생활·디지털,투자 리딩방·고수익 사기 구별법,친구가 수익 인증을 보여주며 같이 하자고 해요,불법 리딩방·유사수신 특징 / 금융감독원 제도권 금융회사 조회 / 피해 시 대처,금융감독원;금융감독원 파인,리딩방 사기;투자사기 구별;유사수신,all,4,5,5,med
L03,생활·디지털,중년을 위한 AI 생활 활용법,요즘 다들 AI 쓴다는데 나만 뒤처지는 것 같아요,AI로 문서·여행·요리·건강정보 정리하는 법 / 개인정보·오류 주의점,각 AI 서비스 공식 도움말,AI 활용법;챗GPT 사용법;중년 디지털,all,4,4,5,low
L04,생활·디지털,꼭 깔아둘 공공 앱과 스마트폰 설정,자식한테 매번 물어보기 미안해요,정부24·The건강보험·내곁에국민연금 앱 활용 / 글씨 크게·스팸 차단 설정 / 모바일 신분증,행정안전부;국민건강보험공단;국민연금공단,정부24 앱;스마트폰 글씨 크게;모바일 신분증,all,3,5,5,low
N01,추억·공감,그 시절 월급과 물가 지금과 비교,짜장면이 천 원이던 시절 기억나세요,통계청 소비자물가지수로 실질 가치 계산 / 시대별 임금 변화 / 물가로 보는 경제 흐름,통계청 KOSIS;한국은행 경제통계시스템,옛날 물가;80년대 물가;90년대 월급,all,5,3,5,low
N02,추억·공감,IMF 외환위기를 겪은 세대의 돈 습관,그때 이후로 빚이라면 무서워요,1997 외환위기 전개와 영향 / 그 세대의 저축·부채 습관 / 지금의 재무 교훈,한국은행;국가기록원,IMF 외환위기;IMF 세대;외환위기 교훈,11;12,5,4,4,low
N03,추억·공감,삐삐부터 스마트폰까지 우리가 겪은 변화,삐삐 번호로 암호 보내던 시절 기억나세요,통신·생활 기술 변화사 / 이 세대가 가진 적응력 / 지금의 디지털 적응 팁,국가기록원;관련 기사,삐삐 시절;90년대 추억;옛날 휴대폰,all,5,3,4,low
